BLDG ID, STREET ADDRESS, ZIP CODE, LAST REG, RC COUNT, DOCKET NO, CASE TYPE, CASE STATUS, FILING DATE, CLOSING DATE, CLOSE CODE, STAFF ID, MCI ITEM, CLAIM COST, ALLOW COST, WK BEG DT
356247, 215 ADAMS ST BROOKLYN NY, 11201, 2007, 0, YF210017X, X, CLOSED, 06/09/2010, 07/21/2010, CW, RXX-000811-18
317315, 235 ADAMS ST BROOKLYN NY, 11201, NR, 0, DN210004X, X, CLOSED, 02/26/2015, 04/23/2015, CW, RX-00003-15
307180, 158 ADELPHI ST BROOKLYN NY, 11205, 2019, 0, ZL210025OM, OM, CLOSED, 12/13/2011, 04/23/2012, GP, ROM-00086-12, BOILER/BURNER, 77300.00, 76464.00, 09/02/2009
307180, 158 ADELPHI ST BROOKLYN NY, 11205, 2019, 0, CO210015X, X, CLOSED, 03/12/2014, 07/08/2014, GR, RX-00007-14
307180, 158 ADELPHI ST BROOKLYN NY, 11205, 2019, 0, FN210066OM, OM, CLOSED, 02/21/2017, 09/08/2017, GP, ROM-00076-17, EXTERIOR RESTORATION, 50310.00, 50280.00, 05/22/2016
307181, 162 ADELPHI ST BROOKLYN NY, 11205, 2019, 0, CO210014X, X, CLOSED, 03/12/2014, 07/08/2014, GR, RX-00007-14
315316, 305 ADELPHI ST BROOKLYN NY, 11205, 2019, 0, HX210013OM, OM, OPEN, 12/13/2019, N/A, NONE, MMC3, BURNER/BOILER/TANKS, 124000.00, 0, 09/20/2018
315316, 305 ADELPHI ST BROOKLYN NY, 11205, 2019, 0, HX210014OM, OM, OPEN, 12/13/2019, N/A, NONE, MMC3, 2 NEW WATER HEATERS, 140000.00, 0, 04/01/2019
312073, 90 ADELPHI ST BROOKLYN NY, 11205, 2019, 0, EV210064OM, OM, CLOSED, 10/17/2016, 02/07/2018, GP, ROM-00011-18, BURNER, 36000.00, 35583.50, 12/01/2015
312073, 90 ADELPHI ST BROOKLYN NY, 11205, 2019, 0, GX210094OM, OM, CLOSED, 12/21/2018, 02/20/2019, VO, M99
312073, 90 ADELPHI ST BROOKLYN NY, 11205, 2019, 0, GX210095OM, OM, CLOSED, 12/21/2018, 05/01/2019, GR, ROM-00034-19, NEW ROOF, 34806.00, 34806.00, 05/28/2018
345932, 104 ADELPHI ST BROOKLYN NY, 11205, 2019, 0, CP210065OM, OM, CLOSED, 04/03/2014, 09/23/2014, GR, ROM-00055-14, 2 HOT WATER TANKS, 25000.00, 25000.00, 02/05/2013
345932, 104 ADELPHI ST BROOKLYN NY, 11205, 2019, 0, DW210067OM, OM, CLOSED, 11/12/2015, 08/08/2016, GP, ROM-00082-16, EXTERIOR RESTORATION, 137032.00, 136657.00, 05/28/2014
347880, 295 ALBANY AVE BROOKLYN NY, 11213, 2020, 1, YD230045OM, OM, CLOSED, 04/15/2010, 01/19/2011, DE, RISF-00123-12, TELEPHONE INTERCOM, 14055.00, 0, 01/12/2010
347880, 295 ALBANY AVE BROOKLYN NY, 11213, 2020, 1, YD230045OM, OM, CLOSED, 04/15/2010, 01/19/2011, DE, RISF-00123-12, REPLACE LINTELS, 102575.00, 0, 05/01/2008
347880, 295 ALBANY AVE BROOKLYN NY, 11213, 2020, 1, YD230045OM, OM, CLOSED, 04/15/2010, 01/19/2011, DE, RISF-00123-12, POINT PARAPET WALLS, 20385.00, 0, 05/01/2008
347880, 295 ALBANY AVE BROOKLYN NY, 11213, 2020, 1, YD230045OM, OM, CLOSED, 04/15/2010, 01/19/2011, DE, RISF-00123-12, POINTNG & WATERPROOF, 78226.50, 0, 05/01/2008
347880, 295 ALBANY AVE BROOKLYN NY, 11213, 2020, 1, AR230021OM, OM, CLOSED, 06/20/2012, 12/11/2012, GP, ROM-00078-12, BOILER/BURNER, 86500.00, 76800.00, 06/15/2010
347880, 295 ALBANY AVE BROOKLYN NY, 11213, 2020, 1, HP230050OM, OM, OPEN, 04/12/2019, N/A, GP, MEM1, ELEVATOR UPGRADING, 135800.00, 0, 11/15/2018
347880, 295 ALBANY AVE BROOKLYN NY, 11213, 2020, 1, HP230050OM, OM, OPEN, 04/12/2019, N/A, GP, MEM1, LOBBY DOORS, 12100.00, 0, 09/17/2018
347880, 295 ALBANY AVE BROOKLYN NY, 11213, 2020, 1, HP230050OM, OM, OPEN, 04/12/2019, N/A, GP, MEM1, HALLWAY WINDOWS, 31990.00, 0, 06/29/2018
328705, 615 ALBANY AVE BROOKLYN NY, 11203, 2019, 0, BQ210012OM, OM, CLOSED, 05/08/2013, 08/11/2015, GP, ROM-00041-15, WATER MAIN, 36100.00, 00000.00, 11/28/2012
328705, 615 ALBANY AVE BROOKLYN NY, 11203, 2019, 0, BQ210012OM, OM, CLOSED, 05/08/2013, 08/11/2015, GP, ROM-00041-15, ELEV./701 FEINMOR ST, 55000.00, 53500.00, 07/10/2012
328705, 615 ALBANY AVE BROOKLYN NY, 11203, 2019, 0, BQ210012OM, OM, CLOSED, 05/08/2013, 08/11/2015, GP, ROM-00041-15, ELEV./601 ALBANY AVE, 43100.00, 41350.00, 04/22/2009
328705, 615 ALBANY AVE BROOKLYN NY, 11203, 2019, 0, EU210095X, X, CLOSED, 09/20/2016, 01/09/2017, GP, RX-00001-17
345521, 145 ALBANY AVE BROOKLYN NY, 11213, 2019, 0, YE210008X, X, CLOSED, 05/04/2010, 05/10/2010, CW, RXX-000811-18
