BLDG ID, STREET ADDRESS, ZIP CODE, LAST REG, RC COUNT, DOCKET NO, CASE TYPE, CASE STATUS, FILING DATE, CLOSING DATE, CLOSE CODE, STAFF ID, MCI ITEM, CLAIM COST, ALLOW COST, WK BEG DT
105362, 15 ABINGDON SQ NEW YORK NY, 10014, 2020, 4, FQ430005OM, OM, CLOSED, 05/04/2017, 07/26/2017, GP, ROM-00060-17, BOILER/BURNER, 152711.18, 146603.00, 10/15/2015
109461, 610 TO 616 ACADEMY ST NEW YORK NY, 10034, 2020, 1, AW430040OM, OM, CLOSED, 11/26/2012, 05/16/2013, GP, ROM-00035-13, PARAPET WALL INSTALL, 202775.00, 195724.00, 11/16/2010
125343, 611 TO 619 ACADEMY ST NEW YORK NY, 10034, 2018, 0, WI410037OM, OM, CLOSED, 09/08/2008, 01/11/2011, DE, RXX-000803-19, POINTNG & WATERPROOF, 27400.00, 0, 08/17/2006
125343, 611 TO 619 ACADEMY ST NEW YORK NY, 10034, 2018, 0, BT410057X, X, CLOSED, 08/29/2013, 08/29/2013, CW, RX-00005-13
100025, 545 ACADEMY ST NEW YORK NY, 10034, 2020, 0, BS410049X, X, CLOSED, 07/25/2013, 07/29/2013, CW, RX-00010-13
100024, 553 ACADEMY ST NEW YORK NY, 10034, 2020, 0, BS410047X, X, CLOSED, 07/25/2013, 07/26/2013, CW, RX-00010-13
100626, 565 ACADEMY ST NEW YORK NY, 10034, 2020, 0, YI410111X, X, CLOSED, 09/27/2010, 09/27/2010, CW, RXX-000811-18
100627, 569 ACADEMY ST NEW YORK NY, 10034, 2020, 3, AQ430053OM, OM, CLOSED, 05/25/2012, 10/12/2012, GR, ROM-00071-12, BRICK POINTING, 10900.00, 10900.00, 06/28/2011
101321, 580 ACADEMY ST NEW YORK NY, 10034, 2020, 0, GM410092OM, OM, CLOSED, 01/26/2018, 08/02/2018, GP, ROM-00073-18, BURNER, 56908.95, 50076.04, 04/06/2015
113703, 584 ACADEMY ST NEW YORK NY, 10034, 2020, 0, FS410024OM, OM, CLOSED, 07/28/2017, 10/17/2017, GP, ROM-00087-17, BOILER/BURNER, 163697.00, 157024.50, 08/01/2015
113703, 584 ACADEMY ST NEW YORK NY, 10034, 2020, 0, FS410024OM, OM, CLOSED, 07/28/2017, 10/17/2017, GP, ROM-00087-17, HEAT COMPUTER SYSTEM, 7528.00, 7528.00, 01/13/2017
113703, 584 ACADEMY ST NEW YORK NY, 10034, 2020, 0, HP410024OM, OM, OPEN, 04/04/2019, N/A, GP, MEP, SECURITY CAMERAS, 15825.61, 0, 05/09/2018
113703, 584 ACADEMY ST NEW YORK NY, 10034, 2020, 0, HO410081OM, OM, OPEN, 03/01/2019, N/A, GP, MCF, NEW ROOF, 94000.00, 0, 06/01/2017
113703, 584 ACADEMY ST NEW YORK NY, 10034, 2020, 0, IO410012OM, OM, OPEN, 03/11/2020, N/A, GP, MRK1, POINTNG & WATERPROOF, 105100.00, 0, 08/31/2017
113703, 584 ACADEMY ST NEW YORK NY, 10034, 2020, 0, IO410012OM, OM, OPEN, 03/11/2020, N/A, GP, MRK1, EXTERIOR RESTORATION, 14900.00, 0, 08/31/2017
113703, 584 ACADEMY ST NEW YORK NY, 10034, 2020, 0, IS410021OM, OM, OPEN, 07/31/2020, N/A, GP, MTN, ENTRANCE DOOR, 9000.00, 0, 02/08/2018
113703, 584 ACADEMY ST NEW YORK NY, 10034, 2020, 0, IS410021OM, OM, OPEN, 07/31/2020, N/A, GP, MTN, APARTMENT DOORS, 62900.00, 0, 02/08/2018
113703, 584 ACADEMY ST NEW YORK NY, 10034, 2020, 0, IS410021OM, OM, OPEN, 07/31/2020, N/A, GP, MTN, HALLWAY WINDOWS, 21100.00, 0, 02/08/2018
113703, 584 ACADEMY ST NEW YORK NY, 10034, 2020, 0, IS410021OM, OM, OPEN, 07/31/2020, N/A, GP, MTN, HALLWAY FLOORING, 136000.00, 0, 02/08/2018
103451, 603 ACADEMY ST NEW YORK NY, 10034, 2020, 0, XK430078OM, OM, CLOSED, 11/20/2009, 09/28/2010, GR, RXX-000922-18, REWIRING, 125000.00, 125000.00, 04/17/2008
103451, 603 ACADEMY ST NEW YORK NY, 10034, 2020, 0, GV430053OM, OM, CLOSED, 10/18/2018, 04/11/2019, GP, MSW2, NEW HOT WATER HEATER, 125000.00, 123253.40, 09/28/2018
103451, 603 ACADEMY ST NEW YORK NY, 10034, 2020, 0, HR430110OM, OM, OPEN, 06/14/2019, N/A, GP, MSM1, BOILER/BURNER, 120000.00, 0, 02/13/2019
103451, 603 ACADEMY ST NEW YORK NY, 10034, 2020, 0, HR430110OM, OM, OPEN, 06/14/2019, N/A, GP, MSM1, CAM SECURITY SYSTEM, 5576.04, 0, 01/16/2019
103140, 618 ACADEMY ST NEW YORK NY, 10034, 2019, 0, HP410117OM, OM, OPEN, 04/11/2019, N/A, NONE, MFG, FLOORING, 30000.00, 0, 02/10/2017
105230, 682 ACADEMY ST NEW YORK NY, 10034, 2020, 0, AS410062OM, OM, CLOSED, 07/30/2012, 03/07/2013, GP, ROM-00017-13, NEW ROOF, 96300.00, 96300.00, 09/28/2011
105230, 682 ACADEMY ST NEW YORK NY, 10034, 2020, 0, AS410062OM, OM, CLOSED, 07/30/2012, 03/07/2013, GP, ROM-00017-13, FACADE, 33250.00, 33250.00, 09/28/2011
105230, 682 ACADEMY ST NEW YORK NY, 10034, 2020, 0, AS410062OM, OM, CLOSED, 07/30/2012, 03/07/2013, GP, ROM-00017-13, MAIN ENTRANCE DOOR, 9150.00, 8650.00, 11/07/2011
105230, 682 ACADEMY ST NEW YORK NY, 10034, 2020, 0, AS410062OM, OM, CLOSED, 07/30/2012, 03/07/2013, GP, ROM-00017-13, HALLWAY WINDOWS, 9500.00, 8500.00, 09/22/2011
105230, 682 ACADEMY ST NEW YORK NY, 10034, 2020, 0, AS410062OM, OM, CLOSED, 07/30/2012, 03/07/2013, GP, ROM-00017-13, SECURITY CAMERA, 8500.00, 8500.00, 04/26/2011
105230, 682 ACADEMY ST NEW YORK NY, 10034, 2020, 0, AS410062OM, OM, CLOSED, 07/30/2012, 03/07/2013, GP, ROM-00017-13, ASBESTOS ABATEMENT, 45899.00, 29232.32, 09/28/2011
105230, 682 ACADEMY ST NEW YORK NY, 10034, 2020, 0, DV410049OM, OM, CLOSED, 10/23/2015, 03/24/2016, GR, ROM-00028-16, BURNER, 88786.50, 88786.50, 06/12/2013
117763, 2014 ADAM CLAYTON POWELL JR BL NEW YORK NY, 10027, 2020, 0, YD410050X, X, CLOSED, 04/06/2010, 04/23/2010, CW, RXX-000811-18
119068, 2259 ADAM CLAYTON POWELL JR BL NEW YORK NY, 10027, 2020, 0, DX410043OM, OM, CLOSED, 12/07/2015, 05/20/2016, GP, ROM-00047-16, FLOORS, 23500.00, 23500.00, 07/01/2015
119068, 2259 ADAM CLAYTON POWELL JR BL NEW YORK NY, 10027, 2020, 0, DX410043OM, OM, CLOSED, 12/07/2015, 05/20/2016, GP, ROM-00047-16, ENTRANCE DOOR, 1200.00, 0.00, 07/01/2015
