BLDG ID, STREET ADDRESS, ZIP CODE, LAST REG, RC COUNT, DOCKET NO, CASE TYPE, CASE STATUS, FILING DATE, CLOSING DATE, CLOSE CODE, STAFF ID, MCI ITEM, CLAIM COST, ALLOW COST, WK BEG DT
204981, 2220 ADAMS PL BRONX NY, 10457, 2020, 0, GW610011OM, OM, CLOSED, 11/09/2018, 01/10/2020, DE, ROM-00003-20, HOT WATER HEATER, 17500.00, 0, 07/01/2018
204981, 2220 ADAMS PL BRONX NY, 10457, 2020, 0, GW610011OM, OM, CLOSED, 11/09/2018, 01/10/2020, DE, ROM-00003-20, NEW ROOF, 12980.00, 0, 05/01/2017
204981, 2220 ADAMS PL BRONX NY, 10457, 2020, 0, GW610011OM, OM, CLOSED, 11/09/2018, 01/10/2020, DE, ROM-00003-20, TV/SECURITY SYSTEM, 9200.00, 0, 11/01/2017
204981, 2220 ADAMS PL BRONX NY, 10457, 2020, 0, GW610011OM, OM, CLOSED, 11/09/2018, 01/10/2020, DE, ROM-00003-20, POINTNG & WATERPROOF, 36445.00, 0, 05/01/2017
221419, 3130 ALBANY CRES BRONX NY, 10463, 2020, 0, DP610055OM, OM, CLOSED, 04/09/2015, 12/05/2016, GP, ROM-00124-16, BURNER, 85100.00, 84285.00, 09/26/2012
215604, 134 ALEXANDER AVE BRONX NY, 10454, 2020, 0, CM610048X, X, CLOSED, 01/21/2014, 01/27/2014, CW, RX-00001-14
206720, 665 ALLERTON AVE BRONX NY, 10467, 2020, 1, EM630016OM, OM, CLOSED, 01/08/2016, 06/07/2016, GP, ROM-00063-16, ROOF | POINTNG | LINTELS, 204275.00, 201775.00, 08/11/2015
206720, 665 ALLERTON AVE BRONX NY, 10467, 2020, 1, EM630016OM, OM, CLOSED, 01/08/2016, 06/07/2016, GP, ROM-00063-16, TV/SECURITY SYSTEM, 21600.00, 21600.00, 09/04/2015
206720, 665 ALLERTON AVE BRONX NY, 10467, 2020, 1, FW630018X, X, CLOSED, 11/22/2017, 11/24/2017, GR, RX-00006-17
206718, 690 ALLERTON AVE BRONX NY, 10467, 2020, 0, EM610015OM, OM, CLOSED, 01/08/2016, 08/17/2016, GP, RRT-00013-16, NEW ROOF, 67950.00, 60000.00, 08/18/2015
206718, 690 ALLERTON AVE BRONX NY, 10467, 2020, 0, EM610015OM, OM, CLOSED, 01/08/2016, 08/17/2016, GP, RRT-00013-16, TV/SECURITY SYSTEM, 32400.00, 27953.32, 07/15/2015
214433, 1140 TO 1150 ANDERSON AVE BRONX NY, 10452, 2020, 0, IU610007OM, OM, OPEN, 09/15/2020, 999, NONE, MRM2, ELEVATOR UPGRADING, 300000.00, 0, 07/16/2018
214433, 1140 TO 1150 ANDERSON AVE BRONX NY, 10452, 2020, 0, IU610007OM, OM, OPEN, 09/15/2020, 999, NONE, MRM2, INTERCOM, 5400.00, 0, 01/22/2019
209634, 1130 ANDERSON AVE BRONX NY, 10452, 2020, 0, YB630017OM, OM, CLOSED, 02/16/2010, 09/23/2010, GR, RXX-000922-18, ELEVATOR UPGRADING, 103850.00, 103850.00, 06/30/2009
209634, 1130 ANDERSON AVE BRONX NY, 10452, 2020, 0, BX630003X, X, CLOSED, 12/03/2013, 12/03/2013, CW, RX-00009-13, BOILER/BURNER, 184950.00, 171769.50, 12/29/2014
209634, 1130 ANDERSON AVE BRONX NY, 10452, 2020, 0, DP610010X, X, CLOSED, 04/02/2015, 07/16/2015, GR, RX-00006-15
209634, 1130 ANDERSON AVE BRONX NY, 10452, 2020, 0, GM610075OM, OM, CLOSED, 01/18/2018, 02/11/2020, GP, A1A99
210978, 1172 ANDERSON AVE BRONX NY, 10452, 2020, 0, CR610003X, X, CLOSED, 06/09/2014, 06/13/2014, CW, RX-00009-14
210437, 1187 ANDERSON AVE BRONX NY, 10452, 2019, 0, CT610016X, X, CLOSED, 08/20/2014, 09/02/2014, CW, RX-00006-14
201192, 2270 TO 2272 ANDREWS AVE BRONX NY, 10468, 2020, 0, GV610102OM, OM, OPEN, 10/26/2018, 999, NONE, MFG, BOILER/BURNER, 161500.00, 0, 08/11/2017
225984, 1705 ANDREWS AVE BRONX NY, 10453, 2020, 0, YI630104X, X, CLOSED, 09/22/2010, 09/27/2010, CW, RX-00001-12
201186, 1944 ANDREWS AVE BRONX NY, 10453, 2018, 1, ZC630021X, X, CLOSED, 03/28/2011, 04/07/2011, CW, RXX-000104-20
203721, 2266 ANDREWS AVE BRONX NY, 10468, 2018, 0, ER610033OM, OM, CLOSED, 06/06/2016, 09/21/2017, GP, ROM-00075-17, EXTERIOR RESTORATION, 65749.00, 56779.90, 07/15/2015
203721, 2266 ANDREWS AVE BRONX NY, 10468, 2018, 0, ER610033OM, OM, CLOSED, 06/06/2016, 09/21/2017, GP, ROM-00075-17, ARCHITECT CONSULT., 1080.00, 1080.00, 08/12/2015
215846, 2285 ANDREWS AVE BRONX NY, 10468, 2019, 0, FT610041OM, OM, CLOSED, 08/15/2017, 04/25/2018, GP, RRT-00035-19, BOILER/BURNER, 189506.27, 183890.77, 03/06/2015
210967, 2296 ANDREWS AVE BRONX NY, 10468, 2020, 0, GS610072OM, OM, OPEN, 07/12/2018, 999, NONE, MSM, GAS PIPING, 63409.50, 0, 05/24/2016
208176, 2321 ANDREWS AVE BRONX NY, 10468, 2020, 0, XJ610112OM, OM, CLOSED, 10/22/2009, 12/03/2010, DE, RXX-000922-18, BOILER/BURNER, 75353.94, 0, 11/01/2007
208176, 2321 ANDREWS AVE BRONX NY, 10468, 2020, 0, XJ610112OM, OM, CLOSED, 10/22/2009, 12/03/2010, DE, RXX-000922-18, INTERCOM SYSTEM, 3197.06, 0, 12/09/2008
203882, 2277 ANDREWS AVE N BRONX NY, 10468, 2020, 0, YH610046X, X, CLOSED, 08/18/2010, 08/20/2010, CW, RXX-000104-20
203882, 2277 ANDREWS AVE N BRONX NY, 10468, 2020, 0, GS610024X, X, CLOSED, 07/20/2018, 07/20/2018, CW, RX-00002-18
209709, 1660 ANDREWS AVE S BRONX NY, 10453, 2020, 0, YI630103X, X, CLOSED, 09/22/2010, 09/27/2010, CW, RXX-000104-20
201819, 1917 ANDREWS AVE S BRONX NY, 10453, 2020, 0, GR610072OM, OM, CLOSED, 06/25/2018, 02/07/2019, GR, ROM-00012-19, BLDG. ENTRANCE DOOR, 7995.00, 7995.00, 06/28/2016
210013, 1929 ANDREWS AVE S BRONX NY, 10453, 2020, 0, DM610008X, X, CLOSED, 01/15/2015, 04/05/2018, VO, MX99
212739, 1644 TO 1646 ANTHONY AVE BRONX NY, 10457, 2020, 0, YG610007X, X, CLOSED, 07/13/2010, 02/18/2011, GR, RXX-000104-20, BOILER/BURNER, 172825.00, 160325.00, 01/22/2014
212739, 1644 TO 1646 ANTHONY AVE BRONX NY, 10457, 2020, 0, ER610072OM, OM, CLOSED, 06/28/2016, 01/09/2017, GP, ROM-00004-17
208854, 1687 ANTHONY AVE BRONX NY, 10457, 2019, 0, XH610097X, X, CLOSED, 08/21/2009, 01/07/2010, GP, RXX-000811-18
